resid,Female,watchnat,ReadNews,pnintst,Education,income,Voted,prop,infopro,WatchProgram,learnpro,TreatmentGroup,prop_dv,InformationLevel,prop_vote,white,partyid,PoliticalInterest
10042000,0,6,7,4,12,11,1,1,1,0,NA,0,0,4,1,1,7,4
10042080,0,7,7,3,13,11,1,1,1,0,NA,1,0,4,1,1,2,3
10042170,1,7,7,4,11,9,1,1,1,1,3,1,0,4,1,1,6,4
10042210,0,7,7,4,13,11,1,1,2,1,4,1,0,3,1,1,1,4
10042220,0,6,1,3,7,5,1,NA,3,0,NA,0,1,2,NA,0,2,3
10042270,0,7,7,4,11,4,1,1,1,1,2,1,0,4,1,1,5,4
10042320,0,5,1,2,9,11,0,NA,4,0,NA,0,1,1,NA,1,5,2
10042410,0,7,5,3,9,3,0,NA,3,0,NA,1,1,2,NA,1,2,3
10042490,1,6,5,3,8,5,0,NA,3,0,NA,1,1,2,NA,1,2,3
10042500,1,5,5,3,4,3,0,NA,4,0,NA,0,1,1,NA,1,3,3
10042650,1,7,7,4,9,3,1,1,2,0,NA,1,0,3,1,1,1,4
10042840,0,5,7,4,11,7,1,1,1,0,NA,0,0,4,1,1,1,4
10042950,1,5,7,3,12,NA,1,1,1,1,2,1,0,4,1,1,6,3
10043130,0,1,5,2,9,4,0,NA,2,0,NA,1,1,3,NA,1,7,2
10043190,1,7,7,3,11,4,1,1,2,1,4,1,0,3,1,1,7,3
10043200,0,7,7,2,12,3,1,2,1,0,NA,0,0,4,0,0,2,2
10043210,NA,6,1,3,11,NA,1,2,3,0,NA,1,0,2,0,1,2,3
10043230,1,7,7,4,9,2,1,1,1,1,2,1,0,4,1,1,7,4
10043280,0,7,2,4,4,4,1,1,2,0,NA,0,0,3,1,1,1,4
10043300,1,7,7,4,11,7,1,1,1,0,NA,0,0,4,1,1,1,4
10043310,0,7,6,4,11,NA,1,1,1,0,NA,1,0,4,1,1,5,4
10043320,1,5,5,2,4,6,0,NA,3,0,NA,0,1,2,NA,1,6,2
10043360,0,NA,1,4,9,NA,1,1,1,0,NA,0,0,4,1,1,1,4
10043480,1,7,7,4,11,8,1,2,2,0,NA,0,0,3,0,1,1,4
10043630,0,7,7,4,11,3,1,1,2,1,2,1,0,3,1,1,6,4
10043730,1,3,7,4,9,NA,0,NA,3,0,NA,1,1,2,NA,0,NA,4
10043810,1,7,7,4,11,NA,1,1,1,1,3,1,0,4,1,1,1,4
10043840,0,6,6,4,11,3,0,NA,1,0,NA,0,1,4,NA,0,6,4
10043850,1,6,5,4,12,11,1,2,2,1,3,1,0,3,0,1,7,4
10043890,0,7,7,4,4,10,1,1,2,0,NA,1,0,3,1,1,1,4
10044130,0,6,7,3,11,8,1,1,1,1,2,1,0,4,1,1,5,3
10044140,1,7,7,3,11,4,1,1,2,0,NA,0,0,3,1,1,1,3
10044160,0,7,7,4,12,4,1,1,1,0,NA,0,0,4,1,1,NA,4
10044210,0,7,1,1,3,2,1,1,2,1,3,1,0,3,1,0,6,1
10044240,1,7,1,4,10,2,1,1,2,0,NA,0,0,3,1,1,2,4
10044310,0,6,6,4,11,2,1,1,1,1,3,1,0,4,1,1,6,4
10044770,1,6,7,4,12,4,1,NA,2,0,NA,1,1,3,NA,1,2,4
10044870,1,7,7,3,9,4,1,1,1,0,NA,1,0,4,1,1,7,3
10044880,1,7,6,2,10,4,1,1,2,0,NA,0,0,3,1,0,5,2
10044910,0,5,7,4,11,11,1,1,1,0,NA,1,0,4,1,1,1,4
10044920,0,6,5,4,11,NA,0,NA,1,0,NA,0,1,4,NA,0,NA,4
10044990,1,7,7,4,12,NA,1,1,1,1,3,1,0,4,1,1,3,4
10045040,0,6,5,3,4,4,1,1,2,0,NA,0,0,3,1,1,1,3
10045190,0,7,6,4,12,11,1,1,2,0,NA,0,0,3,1,1,3,4
10045310,1,5,6,4,11,3,1,1,2,0,NA,1,0,3,1,1,1,4
10045330,1,7,7,4,13,11,1,1,2,0,NA,1,0,3,1,1,7,4
10045370,0,6,7,4,9,4,1,1,1,1,3,1,0,4,1,1,2,4
10045430,1,6,7,4,11,11,1,1,1,1,4,1,0,4,1,1,1,4
10045440,0,7,7,4,11,1,1,1,4,0,NA,0,0,1,1,0,7,4
10045520,1,7,7,4,9,NA,1,1,1,0,NA,0,0,4,1,1,1,4
10045620,0,6,7,4,11,7,1,1,1,0,NA,0,0,4,1,1,6,4
10045650,0,6,7,2,8,4,1,2,1,1,3,1,0,4,0,0,2,2
10045730,0,6,7,3,13,8,1,1,1,0,NA,1,0,4,1,1,2,3
10045800,1,7,3,4,9,3,0,NA,3,0,NA,0,1,2,NA,1,6,4
10045810,1,2,7,4,13,NA,1,1,1,1,2,1,0,4,1,1,1,4
10045860,0,7,5,3,11,5,1,1,3,0,NA,0,0,2,1,0,6,3
10045970,0,6,7,3,11,8,1,1,2,1,2,1,0,3,1,1,1,3
10046000,0,7,6,3,8,4,1,1,1,0,NA,0,0,4,1,0,7,3
10046020,0,6,5,3,2,3,0,NA,2,0,NA,0,1,3,NA,0,6,3
10046050,NA,6,7,4,6,4,1,1,1,1,1,1,0,4,1,1,1,4
10046060,0,7,7,3,8,4,1,1,1,0,NA,0,0,4,1,1,2,3
10046240,1,5,6,4,11,4,1,1,2,0,NA,0,0,3,1,1,7,4
10046320,0,7,7,3,11,5,1,1,1,0,NA,0,0,4,1,1,1,3
10046360,0,6,7,4,11,6,1,1,1,0,NA,0,0,4,1,0,1,4
10046400,1,7,7,4,11,6,1,1,1,0,NA,0,0,4,1,1,1,4
10046470,1,7,7,4,9,3,1,1,1,0,NA,1,0,4,1,1,7,4
10046510,1,7,7,3,11,4,1,1,2,1,2,1,0,3,1,1,3,3
10046630,0,7,7,4,12,5,1,1,1,1,4,1,0,4,1,1,7,4
10046640,0,6,7,4,12,6,1,1,1,0,NA,0,0,4,1,1,7,4
10046710,1,3,4,4,11,1,1,1,2,0,NA,1,0,3,1,0,7,4
10046930,1,7,7,4,10,9,1,1,1,0,NA,1,0,4,1,1,1,4
10046960,0,6,6,3,13,7,NA,NA,2,0,NA,0,1,3,NA,0,2,3
10046980,1,7,6,3,11,1,1,1,1,0,NA,0,0,4,1,1,5,3
10047070,1,4,2,3,4,1,1,2,2,0,NA,1,0,3,0,0,6,3
10047100,0,2,1,2,4,5,1,1,2,0,NA,0,0,3,1,1,5,2
10047150,1,7,7,4,10,2,1,1,2,0,NA,1,0,3,1,1,1,4
10047190,1,7,6,2,11,7,1,1,1,1,2,1,0,4,1,1,2,2
10047230,1,6,6,4,9,10,1,1,1,1,3,1,0,4,1,1,1,4
10047250,1,7,5,3,9,4,1,1,2,1,2,1,0,3,1,1,1,3
10047270,1,4,1,1,9,5,0,NA,3,0,NA,1,1,2,NA,0,NA,1
10047380,1,7,6,4,11,10,1,1,2,0,NA,0,0,3,1,1,3,4
10047400,1,4,6,3,11,11,1,2,2,0,NA,0,0,3,0,1,2,3
10047440,0,6,7,4,12,8,1,1,1,0,NA,0,0,4,1,1,1,4
10047450,1,6,1,3,9,8,1,2,4,0,NA,1,0,1,0,1,1,3
10047520,0,6,6,3,4,3,0,NA,2,0,NA,0,1,3,NA,1,1,3
10047550,1,7,7,4,11,3,1,1,2,0,NA,1,0,3,1,1,2,4
