zip,median,pop,score,contact
02493,147946,11526,73.1,17
02494,104492,8885,46.2,14
02532,60257,11275,33.2,6
02534,60788,865,21.2,8
02535,68906,1182,24.6,4
02536,61733,19684,26,9
02537,86643,5732,43.7,13
02538,54545,3528,36.4,12
02539,67625,3771,35.3,8
02540,58667,8794,23.1,3
02542,39803,1588,29.7,9
02543,82355,845,32.1,8
02553,70197,249,38.3,9
02554,61502,6889,33.1,8
02556,67750,3352,35.5,8
02557,59156,3684,27.2,4
02558,51662,1779,27.9,4
02559,62761,3309,35.6,10
02561,68597,481,26.6,7
02562,68960,2881,42.8,14
02563,84184,10346,44.8,15
02564,81944,388,42.2,15
02568,516,31,8.3,5
02571,55500,10045,27,8
02575,68906,2438,42.9,15
02576,62034,3213,23.1,4
02584,81944,4,38.7,12
02601,44219,15104,28,10
02630,71383,1873,42.8,11
02631,58280,9796,31.8,10
02632,67464,11376,35.2,6
02633,65871,4282,23.4,3
02635,75166,3412,29.1,5
02637,71516,277,39.7,10
02638,56770,3700,23.5,3
02639,47356,3363,22.5,3
02641,61013,719,39.9,9
02642,59536,5431,36.4,10
02643,62589,45,27.3,6
02644,82198,3876,43.2,12
02645,55137,9578,23.6,6
02646,52700,1947,34.5,6
02647,47353,168,19.6,7
02648,71212,7610,44.3,15
02649,62993,12960,24.6,7
02650,64477,979,33.8,7
02651,54464,13,21.7,7
02652,80425,1288,50.2,17
02653,57062,6359,21,4
02655,72786,3956,39.2,8
02657,44646,3430,24.6,5
02659,67569,1102,38.7,10
02660,52611,6546,26.3,6
02663,66109,130,34.7,6
02664,46673,9702,25.2,5
02666,80425,790,49.5,14
02667,66118,2614,26.7,8
02668,71947,3274,43.6,13
02669,67569,259,27.8,5
02670,36555,1630,21.7,3
02671,55677,1061,30.8,9
02672,51601,249,17.7,3
02673,46414,8985,26,8
02675,63557,6712,30.2,11
02702,91095,3869,55,15
02703,67398,41916,28.9,6
02713,68906,55,41.6,10
02715,83613,2591,44.6,16
02717,75793,4594,32.4,9
02718,81142,6406,45.8,11
02719,53936,16150,22.9,6
02720,47794,31309,25,4
02721,32106,26428,9.5,5
02723,30338,16231,11.4,5
02724,30652,17397,13.7,2
02725,65712,2663,23.9,5
02726,68267,15530,40.2,14
02738,101006,5118,57.8,17
02739,74877,6282,30.3,8
02740,38238,43249,20.9,7
02743,70836,10148,40.3,14
02744,31128,11667,15,2
02745,51951,23851,25.6,7
02746,24099,14861,8,3
02747,72292,19451,33.9,6
02748,72885,11531,40.4,13
02760,79274,25526,32.6,9
02762,73645,7678,27.2,6
02763,76722,1782,33.3,11
02764,83621,3623,42.5,11
02766,77953,17869,50.5,16
02767,76338,11839,45.2,14
02769,90530,10179,41.8,12
02770,95022,4397,39.7,12
02771,73961,13507,33.2,10
02777,70245,15945,35.9,9
02779,81125,5748,52.8,13
02780,53796,49469,21.4,4
02790,68367,14305,36,9
02791,72105,302,35.6,10
