DistNumber,Year,CycleSwitch,AfterSwitch,AvgSalary
4808400,2004,1,0,36998.68525
4808400,2005,1,0,36859.88925
4808400,2006,1,0,40027.70956
4808400,2007,1,1,39391.31878
4808400,2008,1,1,38618.99742
4808400,2009,1,1,39529.58014
4808430,2003,0,0,47414.23867
4808430,2004,0,0,45992.15336
4808430,2005,0,0,45422.31111
4808430,2006,0,0,47189.09317
4808430,2007,0,1,47839.37136
4808430,2008,0,1,48718.99119
4808430,2009,0,1,50366.3144
4808460,2003,0,0,42647.6521
4808460,2004,0,0,41126.64893
4808460,2005,0,0,41985.90096
4808460,2006,0,0,43428.2087
4808460,2007,0,1,43432.01918
4808460,2008,0,1,42958.00488
4808460,2009,0,1,44440.95329
4808490,2003,1,0,38638.08005
4808490,2004,1,0,38989.13303
4808490,2005,1,0,37265.7973
4808490,2006,1,0,35671.11983
4808490,2007,1,1,35416.55262
4808490,2008,1,1,34262.01168
4808490,2009,1,1,37539.84955
4808520,2003,0,0,39149.38527
4808520,2004,0,0,39882.91318
4808520,2005,0,0,38474.7101
4808520,2006,0,0,40285.28907
4808520,2007,0,1,41872.57833
4808520,2008,0,1,38683.98324
4808520,2009,0,1,38859.09854
4808550,2003,0,0,43731.10258
4808550,2004,0,0,43986.91708
4808550,2005,0,0,43126.59017
4808550,2006,0,0,44160.67734
4808550,2007,0,1,44623.69858
4808550,2008,0,1,43136.00968
4808550,2009,0,1,44298.73478
4808580,2003,0,0,44023.59596
4808580,2004,0,0,43408.91296
4808580,2005,0,0,40701.1168
4808580,2006,0,0,46206.47617
4808580,2007,0,1,46369.587
4808580,2008,0,1,44513.01901
4808580,2009,0,1,44821.46993
4808610,2003,0,0,40832.99253
4808610,2004,0,0,39075.79107
4808610,2005,0,0,39217.20836
4808610,2006,0,0,41515.94841
4808610,2007,0,1,41140.26102
4808610,2008,0,1,40306.00226
4808610,2009,0,1,42548.36555
4808670,2003,0,0,50813.11876
4808670,2004,0,0,49148.83832
4808670,2005,0,0,47202.10084
4808670,2006,0,0,49440.54122
4808670,2007,0,1,49203.09914
4808670,2008,0,1,49405.99222
4808670,2009,0,1,50179.71624
4808700,2003,0,0,50611.87971
4808700,2004,0,0,50319.59991
4808700,2005,0,0,49539.60856
4808700,2006,0,0,51486.32424
4808700,2007,0,1,52319.86355
4808700,2008,0,1,50972.02201
4808700,2009,0,1,51955.89591
4808730,2003,0,0,41678.91422
4808730,2004,0,0,39640.07735
4808730,2005,0,0,39881.62
4808730,2006,0,0,41521.25417
4808730,2007,0,1,39546.84975
4808730,2008,0,1,39194.99879
4808730,2009,0,1,40303.696
4808870,2003,0,0,44375.77493
4808870,2004,0,0,43504.68917
4808870,2005,0,0,41405.11829
4808870,2006,0,0,42762.50142
4808870,2007,0,1,42609.03122
4808870,2008,0,1,41503.00362
4808870,2009,0,1,42023.99711
4808880,2003,0,0,41561.90135
4808880,2004,0,0,40703.71753
4808880,2005,0,0,38932.28463
4808880,2006,0,0,40886.33809
4808880,2007,0,1,40261.66828
4808880,2008,0,1,39902.01147
4808880,2009,0,1,39305.01055
4808910,2003,0,0,39751.90699
4808910,2004,0,0,40596.5269
4808910,2005,0,0,40290.78337
4808910,2006,0,0,41842.43991
4808910,2007,0,1,42596.67993
4808910,2008,0,1,42719.98746
4808910,2009,0,1,43548.69007
4808940,2003,0,0,46913.49253
4808940,2004,0,0,46509.71508
4808940,2005,0,0,44269.5098
4808940,2006,0,0,45996.58359
