id,EM,PrevImpr,Rec,DetLength,percJudgeSentToEM,judgeAlreadyUsedEM
365,1,0,1,733,0,0
366,1,0,0,146,0.063432835,1
367,1,0,0,2264,0.019999999552965164,0
368,1,0,0,1029,0.013953488320112228,0
369,1,0,0,136,0.014652014710009098,1
370,1,0,0,881,0.041025642305612564,1
371,1,0,0,1219,0.1325966864824295,1
372,1,0,0,254,0.015957447,1
373,1,0,0,1264,0.1325966864824295,1
374,1,0,0,1246,0.005333333,1
375,1,0,0,364,0.029239766,1
376,1,0,1,530,0.10382513701915741,1
378,1,0,0,1044,0,0
379,1,0,0,1497,0.063432835,1
380,1,0,0,455,0.10382513701915741,1
381,1,0,0,682,0.10382513701915741,1
382,1,0,0,1172,0.1538461595773697,1
383,1,0,0,1148,0.1325966864824295,1
384,1,0,0,1421,0.064516127,1
385,1,0,0,581,0.10382513701915741,1
386,1,0,0,494,0.048648648,1
387,1,0,0,7,0.048648648,1
388,1,0,0,1360,0.048648648,0
389,1,0,0,1038,0.25,1
390,1,0,0,650,0.25,1
391,1,0,0,1188,0.018181818,0
392,1,0,0,72,0,0
393,1,0,0,1276,0.019867551,0
394,1,0,0,1401,0.071428575,0
395,1,0,0,1401,0.071428575,0
396,1,0,0,530,0.0625,1
397,1,1,0,1252,0.042553190141916275,1
398,1,0,0,132,0.025641025975346565,0
399,1,0,0,711,0.042553190141916275,0
400,1,0,0,259,0.048648648,1
401,1,0,0,355,0.0625,1
402,1,0,0,1066,0.015625,1
403,1,0,0,308,0,0
404,1,0,0,994,0,0
405,1,0,0,754,0.064516127,1
406,1,0,0,703,0.041025642305612564,1
407,1,0,0,328,0.029239766,1
408,1,0,0,971,0.064516127,1
409,1,0,0,1022,0.10382513701915741,1
410,1,0,0,1092,0.064516127,1
411,1,0,0,791,0.1325966864824295,1
412,1,0,0,1259,0.064516127,1
413,1,0,0,173,0.003816794,1
414,1,0,0,1252,0,0
415,1,0,0,1046,0.030864198,1
416,1,0,0,137,0.059459459,1
417,1,0,1,155,0.1538461595773697,0
418,1,0,0,1203,0.048034936,1
419,1,0,0,450,0.1325966864824295,1
420,1,0,0,745,0.042553190141916275,1
421,1,0,1,199,0.044117648,1
422,1,0,0,791,0.25,0
423,1,0,0,182,0.25,1
424,1,0,0,697,0.1325966864824295,1
425,1,0,0,703,0.13333334028720856,1
426,1,0,1,200,0.048648648,1
427,1,0,0,88,0.019607843831181526,1
428,1,0,0,823,0.027272727340459824,1
429,1,0,0,175,0,0
430,1,1,0,719,0.10382513701915741,1
431,1,0,0,862,0.003546099,1
432,1,0,0,327,0.1325966864824295,1
433,1,0,0,754,0.1325966864824295,1
434,1,0,1,571,0.1325966864824295,1
435,1,0,0,755,0.042553190141916275,1
436,1,0,0,148,0.064516127,1
437,1,0,0,641,0.032051284,1
438,1,0,0,503,0.005747126,1
439,1,0,0,279,0.008333334,0
440,1,0,0,391,0.010526316240429878,1
441,1,0,0,1620,0,0
442,1,0,0,589,0.005747126,0
443,1,0,0,757,0,0
444,1,0,0,966,0.027272727340459824,0
445,1,0,0,1074,0.042553190141916275,1
446,1,0,0,123,0.010101010091602802,1
447,1,0,0,502,0.019867551,1
449,1,0,0,342,0.004926108,1
451,1,0,0,598,0.048648648,1
452,1,0,0,85,0,0
453,1,0,0,324,0.013953488320112228,1
454,1,0,0,78,0.059459459,1
456,0,0,1,804,0.008,1
458,0,0,0,724,0.00625,0
459,0,0,1,445,0,0
460,0,0,0,855,0,0
461,0,0,0,1126,0,0
462,0,0,1,869,0.040935673,0
464,0,0,1,457,0.040935673,0
466,0,0,0,1284,0.040935673,0
469,0,0,0,774,0.057471264,1
473,0,0,0,932,0.017964073,1
474,0,0,0,1163,0.13812154531478882,1
479,0,0,0,1152,0.017964073,1
485,0,0,1,1039,0,0
491,0,0,0,1634,0.078947365,1
492,0,0,0,987,0.017964073,1
496,0,0,1,377,0,0
502,0,0,0,968,0,0
506,0,0,0,1142,0.015789473429322243,1
507,0,0,1,679,0,0
509,0,0,0,640,0,0
510,0,0,1,1321,0.017543859779834747,1
516,0,0,0,481,0.023809524,0
519,0,0,0,113,0.017543859779834747,1
524,0,0,0,294,0.026490066200494766,0
528,0,0,0,406,0,0
529,0,0,0,199,0.004878049,0
530,0,1,1,940,0.00390625,0
531,0,0,1,2298,0.030769231,0
532,0,0,0,2211,0.017964073,0
534,0,0,1,1141,0,0
535,0,0,1,1579,0,0
536,0,0,0,931,0,0
537,0,0,0,784,0.017964073,1
538,0,0,1,898,0.006756757,0
539,0,0,0,996,0,0
540,0,0,0,915,0.011363636702299118,0
541,0,0,0,692,0,0
543,0,0,0,1031,0,0
544,0,0,0,1025,0.20224718749523163,1
545,0,0,1,1310,0.027027027681469917,0
546,0,0,0,225,0,0
547,0,0,1,514,0.023809524,0
552,0,0,0,481,0.023809524,0
553,0,0,0,1093,0.011363636702299118,0
554,0,0,1,819,0.011363636702299118,0
555,0,0,0,734,0.00625,1
556,0,0,0,816,0.006756757,1
557,0,0,0,863,0.057471264,1
558,0,0,1,85,0,0
559,0,0,1,821,0,0
561,0,0,1,1191,0.006756757,0
562,0,0,0,991,0,0
563,0,0,0,659,0.00625,1
564,0,0,0,835,0.00625,0
565,0,0,1,1222,0.010204081423580647,1
566,0,0,1,476,0,0
567,0,0,1,895,0.007042253,0
568,0,0,0,239,0.067164183,0
569,0,0,1,731,0,0
570,0,0,1,407,0,0
571,0,0,0,771,0,0
572,0,0,0,901,0.007042253,1
573,0,0,0,605,0,0
574,0,0,0,1003,0,0
575,0,0,0,427,0,0
576,0,0,0,442,0,0
577,0,0,0,1236,0,0
578,0,0,0,242,0,0
579,0,0,1,187,0,0
580,0,1,1,888,0.008,1
581,0,0,0,1428,0.005952381,0
582,0,0,0,1983,0.01,0
583,0,0,1,947,0,0
587,0,0,1,1308,0.052401747554540634,0
593,0,0,0,714,0,0
602,0,0,1,833,0,0
604,0,0,1,108,0.017543859779834747,1
613,0,0,1,246,0,0
614,0,1,1,1117,0,0
615,0,0,1,1876,0.03846154,0
619,0,0,0,1182,0.00625,0
621,0,0,0,631,0.00625,0
623,0,0,1,870,0,0
624,0,0,0,757,0.006756757,0
626,0,0,0,939,0.007042253,0
627,0,0,0,969,0,0
628,0,0,1,1068,0.017964073,1
633,0,0,0,740,0,0
634,0,0,1,1037,0.007042253,0
635,0,0,0,782,0.00625,0
636,0,0,1,1229,0,0
644,0,0,0,879,0.003584229,1
645,0,0,0,161,0.016666668,0
646,0,0,1,1520,0.006666667,0
